run,k,algoritmo,maletas,score,tiempo_ms,total_travel_min,espera_min,transbordos,tardanza_min,sin_ruta
2,20000,NSGA-II,20000,9181132.80,60052,8628928.00,652671.00,7517,0.00,0
3,20000,ALNS,20000,7508540.00,33005,7299008.00,240745.00,4234,0.00,0
3,20000,NSGA-II,20000,9201753.20,59699,8651946.00,649854.00,7481,0.00,0
4,20000,ALNS,20000,7508540.00,32984,7299008.00,240745.00,4234,0.00,0
4,20000,NSGA-II,20000,9222831.00,59716,8671703.00,651145.00,7553,0.00,0
5,20000,ALNS,20000,7508540.00,32927,7299008.00,240745.00,4234,0.00,0
5,20000,NSGA-II,20000,9223579.80,61577,8670779.00,653416.00,7517,0.00,0
6,20000,ALNS,20000,7508540.00,33115,7299008.00,240745.00,4234,0.00,0
6,20000,NSGA-II,20000,9217637.00,58440,8661657.00,657405.00,7514,0.00,0
7,20000,ALNS,20000,7508540.00,33179,7299008.00,240745.00,4234,0.00,0
7,20000,NSGA-II,20000,9205040.20,60700,8655453.00,649709.00,7455,0.00,0
8,20000,ALNS,20000,7508540.00,33244,7299008.00,240745.00,4234,0.00,0
8,20000,NSGA-II,20000,9207121.80,60619,8656577.00,650721.00,7492,0.00,0
9,20000,ALNS,20000,7508540.00,33148,7299008.00,240745.00,4234,0.00,0
9,20000,NSGA-II,20000,9213538.20,65499,8654667.00,660769.00,7564,0.00,0
10,20000,ALNS,20000,7508540.00,33049,7299008.00,240745.00,4234,0.00,0
10,20000,NSGA-II,20000,9217086.20,80606,8667551.00,649504.00,7483,0.00,0
11,20000,ALNS,20000,7508540.00,33156,7299008.00,240745.00,4234,0.00,0
11,20000,NSGA-II,20000,9198981.00,63124,8647329.00,652135.00,7486,0.00,0
12,20000,ALNS,20000,7508540.00,33701,7299008.00,240745.00,4234,0.00,0
12,20000,NSGA-II,20000,9217524.80,59933,8665612.00,652456.00,7487,0.00,0
13,20000,ALNS,20000,7508540.00,32867,7299008.00,240745.00,4234,0.00,0
13,20000,NSGA-II,20000,9207438.60,61861,8654897.00,653017.00,7532,0.00,0
14,20000,ALNS,20000,7508540.00,33233,7299008.00,240745.00,4234,0.00,0
